recordKey,id,sourceId,sourceMajor,name,location,sourceLocationCode,appStatus,reviewStatus,beaconStatus,category,description,longDescription,latitude,longitude,imagePath,imageAlt,isOpen,trailDistanceDescription,previousBeaconStatus,macAddress,beaconPlacement,purchaseCount,sourceNewBeaconCount,sourceImageName,sourceCoordinates,sourceRow,carriedForwardFields,reviewNotes,reviewGroups,coordinateReview,coordinateDifferenceMetres,coordinateNote
EAC-8,7.0,7.0,20.0,Bluebird and cavity nesting bird program,us-202,LN,Active,Needs Review,working,PointOfInterest,The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations.,"The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations. Bluebirds and other cavity nesting birds such as tree swallows, screech owls, and kestral falcons provide many benefits to our community by eating insects and small rodents. ",40.239,-75.169,us-202/images/202Nesting.jpg,,,,,,under sign,,,Nesting,"40.239, -75.169",EAC and Historic!A8:R8,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,25.2,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-9,8.0,8.0,20.0,Native Plant vs Invasive Plants,us-202,LN,Active,Needs Review,working,PointOfInterest,Native plants are plants that naturally existed in the area before colonization. nvasive plants are exotic plants that originated in other parts of the country or world.,"Native plants are plants that naturally existed in the area before colonization. Native plants have been growing in the area for thousands of years and are adapted to local soil and climate, once established they need minimal maintence.    Invasive plants are exotic plants that originated in other parts of the country or world. Invasive plants have few predators and can quickly spread and are often harmful  to other plants and animals. ",40.238,-75.168,us-202/images/202NativePlantsVsInvasive.jpg,,,,,,under sign,,,Native Plants vs Invasive,"40.238, -75.168",EAC and Historic!A9:R9,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,46.7,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-10,9.0,9.0,20.0,Native Plant Management Area,us-202,LN,Active,Needs Review,"Missing, needs new beacon",PointOfInterest,This corridor is being actively managed by the Warrington Environmental Advisory Council to promote native plants.,"This corridor is being actively managed by the Warrington Environmental Advisory Council to promote native plants. Invasive plants are being controlled to prevent them from crowding out the native vegetation. Step off of the trail and explore. Many of the native plants have been identified, many have edible fruits and nuts. Please Enjoy. ",40.237,-75.168,us-202/images/202NativePlantMgt.jpg,,,,,,under sign,1.0,,Native Plant Mgt,"40.237, -75.168",EAC and Historic!A10:R10,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,4.0,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-11,10.0,10.0,20.0,Pet Waste ,us-202,LN,Active,Needs Review,working,PointOfInterest,"Pet waste contains harmful bacteria,
viruses and parasites that can wash into streams, like the Neshaminy Creek.","Pet waste contains harmful bacteria, viruses and parasites that can wash into streams, like the Neshaminy Creek. These diseases can pose a health hazard to both people and pets. Picking up after your pet controls the spread of diseases to humans and wildlife and protects Warrington’s
waterways. Thank you for bagging your pet’s waste, and putting it in the trash.",40.236587,-75.167368,us-202/images/202PetWaste.jpg,,,,,,under sign,,,Pet Waste,"40.236587, -75.167368",EAC and Historic!A11:R11,imagePath,Proposed name: Pet Waste → Pet Waste  Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,2.5,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-12,11.0,11.0,20.0,Trees,us-202,LN,Active,Needs Review,working,PointOfInterest,"Trees improve biodiversity, sequester carbon,   adsorb and filter pollutants from storm water.  ","Trees improve biodiversity, sequester carbon,   adsorb and filter pollutants from storm water. Trees provide food and habitat for many species of amimals. They help to reduce folloding and filter surface and ground water, removing many pollutants before the pollutants reach a stream. They capture and store carbon and filter air pollutnatnts and other bad odors out of the air.  ",40.236,-75.165,us-202/images/202Trees.jpg,,,,,,under sign,,,Trees,"40.236, -75.165",EAC and Historic!A12:R12,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,12.3,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-13,12.0,12.0,20.0,Wetlands,us-202,LN,Active,Needs Review,working,PointOfInterest,Wetlands are areas where water covers the soil all or varying times of the year.,"Wetlands are areas where water covers the soil all or varying times of the year,   where the majority of plants that grow are water loving and where the subsoil is saturated most of the year. ",40.235,-75.164,us-202/images/202Wetlands.jpg,,,,,,under sign,,,Wetlands,"40.235, -75.164",EAC and Historic!A13:R13,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,32.3,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-14,13.0,13.0,20.0,Fish,us-202,LN,Active,Needs Review,"Missing, needs new beacon",PointOfInterest,"The Neshaminy Creek contains Bluegill, Bass and Trout.","The Neshaminy Creek contains Bluegill, Bass and Trout. Storm water runoff from rain and snow melt can be polluted with sediments, pesticides, oil and other chemicals. These pollutants affect the fish in the water. Some contaminants can accumulate in their bodies. These contaminants can potentially be passed on to humans through the food chain.",40.234,-75.164,us-202/images/202Fish.jpg,,,,,,under sign,1.0,,Fish,"40.234, -75.164",EAC and Historic!A14:R14,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,45.1,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-15,14.0,14.0,20.0,Meadows,us-202,LN,Active,Needs Review,working,PointOfInterest,A meadow is an open field cover mostly by tall grasses.,"A meadow is an open field cover mostly by tall grasses. Meadows provide a variety of benefits.  The benefits include providing habitat for many birds, insects and small animals.  Providing natural beauty from flowering plants. Meadows adsorb additional rain fall and runoff and reduce flooding.  They also sequester carbon and require less mowing.  ",40.233,-75.161,us-202/images/202Meadows.jpg,,,,,,under sign,,,Meadows,"40.233, -75.161",EAC and Historic!A15:R15,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,40.9,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-16,15.0,15.0,20.0,Waterfowl,us-202,LN,Active,Needs Review,working,PointOfInterest,"Waterfowl are ducks, geese or other large aquatic birds. ","Waterfowl are ducks, geese or other large aquatic birds. Adult geese, goslings and eggs provide food for other animals. Please don't feed the wild birds, it can cause poor health, overcrowding and spread disease. ",40.232,-75.16,us-202/images/202Waterfowl.jpg,,,,,,under sign,,,Waterfowl,"40.232, -75.16",EAC and Historic!A16:R16,imagePath,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Consistent with rounding,7.3,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-17,,16.0,20.0,Purple Martin,,UN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.247563889,-75.175052778,,,,,,,under sign,1.0,,,"40°14'51.23""N 75°10'30.19""W, ",EAC and Historic!A17:R17,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 16 is used by End of trail; resolve collision. Confirm mapping of source location code UN; existing app grouping retained where available.,"2, 4, 6",No source comparison,,
EAC-18,17.0,17.0,20.0,Chimney Swift,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.239205556,-75.169491667,,,,,,,under sign,1.0,,,"40°14'21.14""N 75°10'10.17""W, ",EAC and Historic!A18:R18,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-19,18.0,18.0,20.0,Bluebird and cavity nesting bird program,,EP,Draft,Needs Review,Needs beacon,PointOfInterest,The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations.,"The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations. Bluebirds and other cavity nesting birds such as tree swallows, screech owls, and kestral falcons provide many benefits to our community by eating insects and small rodents. ",40.253291667,-75.174066667,,,,,,,under sign,1.0,,,"40°15'11.85""N 75°10'26.64""W, ",EAC and Historic!A19:R19,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-20,19.0,19.0,20.0,Meadows,,EP,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.254433333,-75.172986111,,,,,,,under sign,1.0,,,"40°15'15.96""N 75°10'22.75""W, ",EAC and Historic!A20:R20,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-21,20.0,20.0,20.0,Pet Waste ,,EP,Draft,Needs Review,Needs beacon,PointOfInterest,"Pet waste contains harmful bacteria,
viruses and parasites that can wash into streams, like the Neshaminy Creek.","Pet waste contains harmful bacteria, viruses and parasites that can wash into streams, like the Neshaminy Creek. These diseases can pose a health hazard to both people and pets. Picking up after your pet controls the spread of diseases to humans and wildlife and protects Warrington’s
waterways. Thank you for bagging your pet’s waste, and putting it in the trash.",40.25885,-75.168411111,,,,,,,under sign,1.0,,,"40°15'31.86""N 75°10'06.28""W, ",EAC and Historic!A21:R21,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-22,21.0,21.0,20.0,Meadows,,MCP,Draft,Needs Review,Needs beacon,PointOfInterest,A meadow is an open field cover mostly by tall grasses.,"A meadow is an open field cover mostly by tall grasses. Meadows provide a variety of benefits.  The benefits include providing habitat for many birds, insects and small animals.  Providing natural beauty from flowering plants. Meadows adsorb additional rain fall and runoff and reduce flooding.  They also sequester carbon and require less mowing.  ",40.265252778,-75.176083333,,,,,,,under sign,1.0,,,"40°15'54.91""N 75°10'33.90""W, ",EAC and Historic!A22:R22,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code MCP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-23,22.0,22.0,20.0,Reptiles,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.253291667,-75.174066667,,,,,,,under sign,1.0,,,"40°15'11.85""N 75°10'26.64""W, ",EAC and Historic!A23:R23,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-24,23.0,23.0,20.0,Bird Blind,,MCP,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.264097222,-75.175763889,,,,,,,under sign,1.0,,,"40°15'50.75""N 75°10'32.75""W, ",EAC and Historic!A24:R24,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code MCP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-25,24.0,24.0,20.0,Bird Houses on Display,,LP,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.246183333,-75.177619444,,,,,,,under sign,1.0,,,"40°14'46.26""N 75°10'39.43""W, ",EAC and Historic!A25:R25,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-26,25.0,25.0,20.0,Bird Blind,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.237780556,-75.168575,,,,,,,under sign,1.0,,,"40°14'16.01""N 75°10'06.87""W, ",EAC and Historic!A26:R26,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-27,26.0,26.0,20.0,Monarch Way Station,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,"Monarch Waystations are places that provide resources necessary for monarchs to produce successive generations and sustain their migration. Without milkweeds throughout their spring and summer breeding areas in North America, monarchs would not be able to produce the successive generations that culminate in the migration each fall. Similarly, without nectar from flowers these fall migratory monarch butterflies would be unable to make their long journey to overwintering grounds in Mexico. The need for host plants for larvae and energy sources for adults applies to all monarch and butterfly populations around the world.",40.238755556,-75.169344444,,,,,,,under sign,1.0,,,"40°14'19.52""N 75°10'09.64""W, ",EAC and Historic!A27:R27,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-28,27.0,27.0,20.0,Migrating Birds,,UN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.248588889,-75.176569444,,,,,,,under sign,1.0,,,"40°14'54.92""N 75°10'35.65""W, ",EAC and Historic!A28:R28,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-29,28.0,28.0,20.0,Pollinator Garden,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.237797222,-75.168536111,,,,,,,under sign,1.0,,,"40°14'16.07""N 75°10'06.73""W, ",EAC and Historic!A29:R29,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-30,29.0,29.0,20.0,Wetlands,,UP,Draft,Needs Review,Needs beacon,PointOfInterest,,,,,,,,,,,under sign,1.0,,,", ",EAC and Historic!A30:R30,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-31,30.0,30.0,20.0,Kiosk ,,UP,Draft,Needs Review,Needs beacon,PointOfInterest,,,,,,,,,,,inside kiosk,1.0,,,", ",EAC and Historic!A31:R31,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-32,31.0,31.0,,Corral Garden ,,UN,Draft,Needs Review,Needs beacon,PointOfInterest,,,,,,,,,,,,1.0,,,", ",EAC and Historic!A32:R32,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-33,32.0,32.0,,Solitary Bees,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,,,,,,,,,,1.0,,,", ",EAC and Historic!A33:R33,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-34,33.0,33.0,20.0,History of Weisel,,WP,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.268697222,-75.190058333,,,,,,,under sign,1.0,,,"40°16'07.31""N 75°11'24.21""W, ",EAC and Historic!A34:R34,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code WP; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-35,34.0,34.0,20.0,Nike Missile,,LN,Draft,Needs Review,Needs beacon,PointOfInterest,,,40.238786111,-75.169158333,,,,,,,under sign,1.0,,,"40°14'19.63""N 75°10'08.97""W, ",EAC and Historic!A35:R35,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,"2, 4",No source comparison,,
EAC-36,35.0,35.0,,School House,,Folly Rd.,Draft,Needs Review,Needs beacon,PointOfInterest,,,,,,,,,,,,1.0,,,", ",EAC and Historic!A36:R36,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code Folly Rd.; existing app grouping retained where available.,"2, 4",No source comparison,,
JSON-4001,4001.0,,,202 Connector Trail,us-202,,Active,Needs Review,,Trail,This mostly-paved trail brings you from the 202 Parkway Trail to the Bradford Dam reservoir and the trail that goes through it,This is a paved trail (with one short gravel segment) connecting the US-202 Parkway Trail to the Bradford Dam trail,40.2700344,-75.1917515,us-202/images/202LittleNeshaminy.jpg,Picture of 202 Connector Trail,true,This is a paved trail (with one short gravel segment) connecting the US-202 Parkway Trail to the Bradford Dam trail,,,,,,,,Current JSON,Entire record,Absent from new source. Retained pending decision; may be a required trail endpoint.,"1, 5",No source comparison,,
JSON-16,16.0,,,End of trail,us-202,,Active,Needs Review,,PointOfInterest,This is the end of the trail,This is the end of the trail,40.2272362,-75.1586589,us-202/images/202LittleNeshaminy.jpg,,,,,,,,,,,Current JSON,Entire record,Absent from new source. Retained pending decision; may be a required trail endpoint.,"1, 5",No source comparison,,
